,antecedents,consequents,lift,support,confidence,type
23,"('Q18_cat_1', 'atgs_cat_1')","('pgsi_binary_0',)",1.0,0.0801781737193764,1.0,pgsi_binary_0
24,"('Q18_cat_2', 'atgs_cat_1')","('pgsi_binary_0',)",1.0,0.08630289532293986,1.0,pgsi_binary_0
25,"('lotto_count_2', 'atgs_cat_1')","('pgsi_binary_0',)",1.0,0.09688195991091314,1.0,pgsi_binary_0
26,"('delay_count_3', 'atgs_cat_1')","('pgsi_binary_0',)",1.0,0.09131403118040089,1.0,pgsi_binary_0
27,"('gamble_freq_cat_1', 'atgs_cat_2')","('pgsi_binary_0',)",1.0,0.09966592427616927,1.0,pgsi_binary_0
28,"('atgs_cat_2', 'Q18_cat_1')","('pgsi_binary_0',)",1.0,0.09855233853006681,1.0,pgsi_binary_0
29,"('atgs_cat_2', 'Q18_cat_2')","('pgsi_binary_0',)",1.0,0.13752783964365256,1.0,pgsi_binary_0
30,"('atgs_cat_2', 'Q18_cat_3')","('pgsi_binary_0',)",1.0,0.08296213808463251,1.0,pgsi_binary_0
31,"('lotto_count_2', 'atgs_cat_2')","('pgsi_binary_0',)",1.0,0.15478841870824053,1.0,pgsi_binary_0
32,"('lotto_count_3', 'atgs_cat_2')","('pgsi_binary_0',)",1.0,0.08296213808463251,1.0,pgsi_binary_0
33,"('Q20_cat_1', 'atgs_cat_2')","('pgsi_binary_0',)",1.0,0.09966592427616927,1.0,pgsi_binary_0
34,"('atgs_cat_2', 'Q20_cat_2')","('pgsi_binary_0',)",1.0,0.13530066815144767,1.0,pgsi_binary_0
35,"('atgs_cat_2', 'delay_count_3')","('pgsi_binary_0',)",1.0,0.12360801781737193,1.0,pgsi_binary_0
36,"('delay_count_4', 'atgs_cat_2')","('pgsi_binary_0',)",1.0,0.10077951002227171,1.0,pgsi_binary_0
37,"('atgs_cat_4', 'lotto_count_2')","('pgsi_binary_0',)",1.0,0.08184855233853007,1.0,pgsi_binary_0
38,"('gamble_freq_cat_1', 'Q18_cat_1')","('pgsi_binary_0',)",1.0,0.0801781737193764,1.0,pgsi_binary_0
39,"('gamble_freq_cat_1', 'Q18_cat_2')","('pgsi_binary_0',)",1.0,0.09298440979955457,1.0,pgsi_binary_0
40,"('lotto_count_2', 'gamble_freq_cat_1')","('pgsi_binary_0',)",1.0,0.11748329621380846,1.0,pgsi_binary_0
41,"('gamble_freq_cat_1', 'Q20_cat_2')","('pgsi_binary_0',)",1.0,0.10077951002227171,1.0,pgsi_binary_0
42,"('gamble_freq_cat_1', 'delay_count_3')","('pgsi_binary_0',)",1.0,0.10300668151447662,1.0,pgsi_binary_0
43,"('lotto_count_2', 'Q18_cat_1')","('pgsi_binary_0',)",1.0,0.11414253897550111,1.0,pgsi_binary_0
44,"('Q20_cat_1', 'Q18_cat_1')","('pgsi_binary_0',)",1.0,0.10133630289532294,1.0,pgsi_binary_0
45,"('Q18_cat_1', 'delay_count_3')","('pgsi_binary_0',)",1.0,0.08797327394209355,1.0,pgsi_binary_0
46,"('lotto_count_2', 'Q18_cat_2')","('pgsi_binary_0',)",1.0,0.14643652561247217,1.0,pgsi_binary_0
47,"('lotto_count_3', 'Q18_cat_2')","('pgsi_binary_0',)",1.0,0.08463251670378619,1.0,pgsi_binary_0
48,"('Q20_cat_1', 'Q18_cat_2')","('pgsi_binary_0',)",1.0,0.11581291759465479,1.0,pgsi_binary_0
49,"('Q18_cat_2', 'Q20_cat_2')","('pgsi_binary_0',)",1.0,0.1358574610244989,1.0,pgsi_binary_0
50,"('Q18_cat_2', 'delay_count_3')","('pgsi_binary_0',)",1.0,0.133630289532294,1.0,pgsi_binary_0
51,"('delay_count_4', 'Q18_cat_2')","('pgsi_binary_0',)",1.0,0.09855233853006681,1.0,pgsi_binary_0
52,"('lotto_count_2', 'Q18_cat_3')","('pgsi_binary_0',)",1.0,0.08685968819599109,1.0,pgsi_binary_0
53,"('Q18_cat_3', 'Q20_cat_2')","('pgsi_binary_0',)",1.0,0.09020044543429843,1.0,pgsi_binary_0
54,"('Q20_cat_1', 'lotto_count_2')","('pgsi_binary_0',)",1.0,0.11469933184855234,1.0,pgsi_binary_0
55,"('lotto_count_2', 'Q20_cat_2')","('pgsi_binary_0',)",1.0,0.14587973273942093,1.0,pgsi_binary_0
56,"('lotto_count_2', 'Q20_cat_3')","('pgsi_binary_0',)",1.0,0.08630289532293986,1.0,pgsi_binary_0
57,"('lotto_count_2', 'delay_count_3')","('pgsi_binary_0',)",1.0,0.15868596881959912,1.0,pgsi_binary_0
58,"('delay_count_4', 'lotto_count_2')","('pgsi_binary_0',)",1.0,0.11358574610244988,1.0,pgsi_binary_0
59,"('lotto_count_3', 'delay_count_3')","('pgsi_binary_0',)",1.0,0.08574610244988864,1.0,pgsi_binary_0
60,"('Q20_cat_1', 'delay_count_3')","('pgsi_binary_0',)",1.0,0.09465478841870824,1.0,pgsi_binary_0
61,"('delay_count_3', 'Q20_cat_2')","('pgsi_binary_0',)",1.0,0.12639198218262807,1.0,pgsi_binary_0
62,"('delay_count_4', 'Q20_cat_2')","('pgsi_binary_0',)",1.0,0.0957683741648107,1.0,pgsi_binary_0
