,antecedents,consequents,lift,support,confidence,type
20,"('atgs_cat_2', 'Q18_cat_1')","('is_gambler_1',)",1.0,0.08710217755443886,1.0,is_gambler_1
21,"('atgs_cat_2', 'Q18_cat_2')","('is_gambler_1',)",1.0,0.11976549413735343,1.0,is_gambler_1
22,"('lotto_count_2', 'atgs_cat_2')","('is_gambler_1',)",1.0,0.1541038525963149,1.0,is_gambler_1
23,"('Q20_cat_1', 'atgs_cat_2')","('is_gambler_1',)",1.0,0.09296482412060302,1.0,is_gambler_1
24,"('atgs_cat_2', 'Q20_cat_2')","('is_gambler_1',)",1.0,0.12981574539363483,1.0,is_gambler_1
25,"('atgs_cat_2', 'delay_count_3')","('is_gambler_1',)",1.0,0.11809045226130653,1.0,is_gambler_1
26,"('delay_count_4', 'atgs_cat_2')","('is_gambler_1',)",1.0,0.08542713567839195,1.0,is_gambler_1
27,"('atgs_cat_3', 'lotto_count_2')","('is_gambler_1',)",1.0,0.08710217755443886,1.0,is_gambler_1
28,"('atgs_cat_3', 'Q20_cat_2')","('is_gambler_1',)",1.0,0.08207705192629816,1.0,is_gambler_1
29,"('atgs_cat_3', 'delay_count_3')","('is_gambler_1',)",1.0,0.0812395309882747,1.0,is_gambler_1
30,"('atgs_cat_4', 'Q18_cat_2')","('is_gambler_1',)",1.0,0.10887772194304858,1.0,is_gambler_1
31,"('atgs_cat_4', 'lotto_count_2')","('is_gambler_1',)",1.0,0.13316582914572864,1.0,is_gambler_1
32,"('atgs_cat_4', 'Q20_cat_1')","('is_gambler_1',)",1.0,0.09045226130653267,1.0,is_gambler_1
33,"('atgs_cat_4', 'Q20_cat_2')","('is_gambler_1',)",1.0,0.10385259631490787,1.0,is_gambler_1
34,"('atgs_cat_4', 'delay_count_3')","('is_gambler_1',)",1.0,0.10134003350083752,1.0,is_gambler_1
35,"('lotto_count_2', 'Q18_cat_1')","('is_gambler_1',)",1.0,0.11306532663316583,1.0,is_gambler_1
36,"('Q20_cat_1', 'Q18_cat_1')","('is_gambler_1',)",1.0,0.10552763819095477,1.0,is_gambler_1
37,"('Q18_cat_1', 'delay_count_3')","('is_gambler_1',)",1.0,0.08793969849246232,1.0,is_gambler_1
38,"('lotto_count_2', 'Q18_cat_2')","('is_gambler_1',)",1.0,0.16080402010050251,1.0,is_gambler_1
39,"('Q20_cat_1', 'Q18_cat_2')","('is_gambler_1',)",1.0,0.11892797319932999,1.0,is_gambler_1
40,"('Q18_cat_2', 'Q20_cat_2')","('is_gambler_1',)",1.0,0.1474036850921273,1.0,is_gambler_1
41,"('Q18_cat_2', 'delay_count_3')","('is_gambler_1',)",1.0,0.13484087102177555,1.0,is_gambler_1
42,"('delay_count_4', 'Q18_cat_2')","('is_gambler_1',)",1.0,0.09380234505862646,1.0,is_gambler_1
43,"('lotto_count_2', 'Q18_cat_3')","('is_gambler_1',)",1.0,0.09798994974874371,1.0,is_gambler_1
44,"('Q18_cat_3', 'Q20_cat_2')","('is_gambler_1',)",1.0,0.09045226130653267,1.0,is_gambler_1
45,"('Q18_cat_3', 'delay_count_3')","('is_gambler_1',)",1.0,0.0812395309882747,1.0,is_gambler_1
46,"('Q20_cat_1', 'lotto_count_2')","('is_gambler_1',)",1.0,0.1306532663316583,1.0,is_gambler_1
47,"('lotto_count_2', 'Q20_cat_2')","('is_gambler_1',)",1.0,0.16415410385259632,1.0,is_gambler_1
48,"('lotto_count_2', 'delay_count_3')","('is_gambler_1',)",1.0,0.17001675041876047,1.0,is_gambler_1
49,"('delay_count_4', 'lotto_count_2')","('is_gambler_1',)",1.0,0.11474036850921274,1.0,is_gambler_1
50,"('lotto_count_3', 'delay_count_3')","('is_gambler_1',)",1.0,0.08710217755443886,1.0,is_gambler_1
51,"('Q20_cat_1', 'delay_count_3')","('is_gambler_1',)",1.0,0.09966499162479062,1.0,is_gambler_1
52,"('delay_count_3', 'Q20_cat_2')","('is_gambler_1',)",1.0,0.13484087102177555,1.0,is_gambler_1
53,"('delay_count_4', 'Q20_cat_2')","('is_gambler_1',)",1.0,0.09715242881072027,1.0,is_gambler_1
54,"('Q20_cat_3', 'delay_count_3')","('is_gambler_1',)",1.0,0.08040201005025126,1.0,is_gambler_1
