,antecedents,consequents
0,"('atgs_cat_1',)","('is_gambler_1',)"
1,"('atgs_cat_2',)","('is_gambler_1',)"
2,"('atgs_cat_3',)","('is_gambler_1',)"
3,"('atgs_cat_4',)","('is_gambler_1',)"
4,"('Q18_cat_1',)","('is_gambler_1',)"
5,"('Q18_cat_2',)","('is_gambler_1',)"
6,"('Q18_cat_3',)","('is_gambler_1',)"
7,"('Q18_cat_4',)","('is_gambler_1',)"
8,"('lotto_count_0',)","('is_gambler_1',)"
9,"('lotto_count_1',)","('is_gambler_1',)"
10,"('lotto_count_2',)","('is_gambler_1',)"
11,"('lotto_count_3',)","('is_gambler_1',)"
12,"('Q20_cat_1',)","('is_gambler_1',)"
13,"('Q20_cat_2',)","('is_gambler_1',)"
14,"('Q20_cat_3',)","('is_gambler_1',)"
15,"('Q20_cat_4',)","('is_gambler_1',)"
16,"('delay_count_0',)","('is_gambler_1',)"
17,"('delay_count_2',)","('is_gambler_1',)"
18,"('delay_count_3',)","('is_gambler_1',)"
19,"('delay_count_4',)","('is_gambler_1',)"
20,"('atgs_cat_2', 'Q18_cat_1')","('is_gambler_1',)"
21,"('atgs_cat_2', 'Q18_cat_2')","('is_gambler_1',)"
22,"('lotto_count_2', 'atgs_cat_2')","('is_gambler_1',)"
23,"('Q20_cat_1', 'atgs_cat_2')","('is_gambler_1',)"
24,"('atgs_cat_2', 'Q20_cat_2')","('is_gambler_1',)"
25,"('atgs_cat_2', 'delay_count_3')","('is_gambler_1',)"
26,"('delay_count_4', 'atgs_cat_2')","('is_gambler_1',)"
27,"('atgs_cat_3', 'lotto_count_2')","('is_gambler_1',)"
28,"('atgs_cat_3', 'Q20_cat_2')","('is_gambler_1',)"
29,"('atgs_cat_3', 'delay_count_3')","('is_gambler_1',)"
30,"('atgs_cat_4', 'Q18_cat_2')","('is_gambler_1',)"
31,"('atgs_cat_4', 'lotto_count_2')","('is_gambler_1',)"
32,"('atgs_cat_4', 'Q20_cat_1')","('is_gambler_1',)"
33,"('atgs_cat_4', 'Q20_cat_2')","('is_gambler_1',)"
34,"('atgs_cat_4', 'delay_count_3')","('is_gambler_1',)"
35,"('lotto_count_2', 'Q18_cat_1')","('is_gambler_1',)"
36,"('Q20_cat_1', 'Q18_cat_1')","('is_gambler_1',)"
37,"('Q18_cat_1', 'delay_count_3')","('is_gambler_1',)"
38,"('lotto_count_2', 'Q18_cat_2')","('is_gambler_1',)"
39,"('Q20_cat_1', 'Q18_cat_2')","('is_gambler_1',)"
40,"('Q18_cat_2', 'Q20_cat_2')","('is_gambler_1',)"
41,"('Q18_cat_2', 'delay_count_3')","('is_gambler_1',)"
42,"('delay_count_4', 'Q18_cat_2')","('is_gambler_1',)"
43,"('lotto_count_2', 'Q18_cat_3')","('is_gambler_1',)"
44,"('Q18_cat_3', 'Q20_cat_2')","('is_gambler_1',)"
45,"('Q18_cat_3', 'delay_count_3')","('is_gambler_1',)"
46,"('Q20_cat_1', 'lotto_count_2')","('is_gambler_1',)"
47,"('lotto_count_2', 'Q20_cat_2')","('is_gambler_1',)"
48,"('lotto_count_2', 'delay_count_3')","('is_gambler_1',)"
49,"('delay_count_4', 'lotto_count_2')","('is_gambler_1',)"
50,"('lotto_count_3', 'delay_count_3')","('is_gambler_1',)"
51,"('Q20_cat_1', 'delay_count_3')","('is_gambler_1',)"
52,"('delay_count_3', 'Q20_cat_2')","('is_gambler_1',)"
53,"('delay_count_4', 'Q20_cat_2')","('is_gambler_1',)"
54,"('Q20_cat_3', 'delay_count_3')","('is_gambler_1',)"
