,antecedents,consequents,lift,support,type
50,"('gamble_freq_cat_1', 'pgsi_binary_1')","('atgs_cat_2',)",1.188172043,0.085972851,pgsi_binary_1
51,"('atgs_cat_2', 'pgsi_binary_1')","('gamble_freq_cat_1',)",1.188172043,0.085972851,pgsi_binary_1
52,"('gamble_freq_cat_1',)","('atgs_cat_2', 'pgsi_binary_1')",1.188172043,0.085972851,pgsi_binary_1
53,"('atgs_cat_2',)","('gamble_freq_cat_1', 'pgsi_binary_1')",1.188172043,0.085972851,pgsi_binary_1
54,"('pgsi_binary_1', 'gamble_freq_cat_2')","('atgs_cat_2',)",1.156059285,0.108597285,pgsi_binary_1
55,"('atgs_cat_2', 'pgsi_binary_1')","('gamble_freq_cat_2',)",1.156059285,0.108597285,pgsi_binary_1
56,"('gamble_freq_cat_2',)","('atgs_cat_2', 'pgsi_binary_1')",1.156059285,0.108597285,pgsi_binary_1
57,"('atgs_cat_2',)","('pgsi_binary_1', 'gamble_freq_cat_2')",1.156059285,0.108597285,pgsi_binary_1
58,"('Q18_cat_2', 'pgsi_binary_1')","('atgs_cat_2',)",1.171198157,0.104072398,pgsi_binary_1
59,"('atgs_cat_2', 'pgsi_binary_1')","('Q18_cat_2',)",1.171198157,0.104072398,pgsi_binary_1
60,"('Q18_cat_2',)","('atgs_cat_2', 'pgsi_binary_1')",1.171198157,0.104072398,pgsi_binary_1
61,"('atgs_cat_2',)","('Q18_cat_2', 'pgsi_binary_1')",1.171198157,0.104072398,pgsi_binary_1
62,"('Q20_cat_2', 'pgsi_binary_1')","('atgs_cat_2',)",1.17368214,0.122171946,pgsi_binary_1
63,"('atgs_cat_2', 'pgsi_binary_1')","('Q20_cat_2',)",1.17368214,0.122171946,pgsi_binary_1
64,"('Q20_cat_2',)","('atgs_cat_2', 'pgsi_binary_1')",1.17368214,0.122171946,pgsi_binary_1
65,"('atgs_cat_2',)","('Q20_cat_2', 'pgsi_binary_1')",1.17368214,0.122171946,pgsi_binary_1
74,"('atgs_cat_4', 'pgsi_binary_1')","('gamble_freq_cat_3',)",1.268253968,0.212669683,pgsi_binary_1
75,"('pgsi_binary_1', 'gamble_freq_cat_3')","('atgs_cat_4',)",1.268253968,0.212669683,pgsi_binary_1
76,"('atgs_cat_4',)","('pgsi_binary_1', 'gamble_freq_cat_3')",1.268253968,0.212669683,pgsi_binary_1
77,"('gamble_freq_cat_3',)","('atgs_cat_4', 'pgsi_binary_1')",1.268253968,0.212669683,pgsi_binary_1
78,"('atgs_cat_4', 'pgsi_binary_1')","('Q18_cat_1',)",1.214285714,0.099547511,pgsi_binary_1
79,"('pgsi_binary_1', 'Q18_cat_1')","('atgs_cat_4',)",1.214285714,0.099547511,pgsi_binary_1
80,"('atgs_cat_4',)","('pgsi_binary_1', 'Q18_cat_1')",1.214285714,0.099547511,pgsi_binary_1
81,"('Q18_cat_1',)","('atgs_cat_4', 'pgsi_binary_1')",1.214285714,0.099547511,pgsi_binary_1
88,"('atgs_cat_4', 'pgsi_binary_1')","('Q20_cat_1',)",1.110204082,0.14479638,pgsi_binary_1
89,"('Q20_cat_1', 'pgsi_binary_1')","('atgs_cat_4',)",1.110204082,0.14479638,pgsi_binary_1
90,"('atgs_cat_4',)","('Q20_cat_1', 'pgsi_binary_1')",1.110204082,0.14479638,pgsi_binary_1
91,"('Q20_cat_1',)","('atgs_cat_4', 'pgsi_binary_1')",1.110204082,0.14479638,pgsi_binary_1
92,"('atgs_cat_4', 'pgsi_binary_1')","('Q20_cat_3',)",1.183150183,0.085972851,pgsi_binary_1
