,antecedents,consequents
0,"('atgs_cat_1',)","('pgsi_binary_1',)"
1,"('atgs_cat_2',)","('pgsi_binary_1',)"
2,"('atgs_cat_3',)","('pgsi_binary_1',)"
3,"('atgs_cat_4',)","('pgsi_binary_1',)"
4,"('gamble_freq_cat_1',)","('pgsi_binary_1',)"
5,"('gamble_freq_cat_2',)","('pgsi_binary_1',)"
6,"('gamble_freq_cat_3',)","('pgsi_binary_1',)"
7,"('Q18_cat_1',)","('pgsi_binary_1',)"
8,"('Q18_cat_2',)","('pgsi_binary_1',)"
9,"('Q18_cat_3',)","('pgsi_binary_1',)"
10,"('Q18_cat_4',)","('pgsi_binary_1',)"
11,"('lotto_count_0',)","('pgsi_binary_1',)"
12,"('lotto_count_1',)","('pgsi_binary_1',)"
13,"('lotto_count_2',)","('pgsi_binary_1',)"
14,"('lotto_count_3',)","('pgsi_binary_1',)"
15,"('Q20_cat_1',)","('pgsi_binary_1',)"
16,"('Q20_cat_2',)","('pgsi_binary_1',)"
17,"('Q20_cat_3',)","('pgsi_binary_1',)"
18,"('Q20_cat_4',)","('pgsi_binary_1',)"
19,"('delay_count_0',)","('pgsi_binary_1',)"
20,"('delay_count_1',)","('pgsi_binary_1',)"
21,"('delay_count_2',)","('pgsi_binary_1',)"
22,"('delay_count_3',)","('pgsi_binary_1',)"
23,"('delay_count_4',)","('pgsi_binary_1',)"
24,"('atgs_cat_2', 'gamble_freq_cat_1')","('pgsi_binary_1',)"
25,"('atgs_cat_2', 'gamble_freq_cat_2')","('pgsi_binary_1',)"
26,"('atgs_cat_2', 'gamble_freq_cat_3')","('pgsi_binary_1',)"
27,"('atgs_cat_2', 'Q18_cat_2')","('pgsi_binary_1',)"
28,"('lotto_count_2', 'atgs_cat_2')","('pgsi_binary_1',)"
29,"('Q20_cat_1', 'atgs_cat_2')","('pgsi_binary_1',)"
30,"('atgs_cat_2', 'Q20_cat_2')","('pgsi_binary_1',)"
31,"('atgs_cat_2', 'delay_count_3')","('pgsi_binary_1',)"
32,"('atgs_cat_3', 'gamble_freq_cat_3')","('pgsi_binary_1',)"
33,"('atgs_cat_4', 'gamble_freq_cat_2')","('pgsi_binary_1',)"
